Sno,Material Code,Material Description ,GL Account,Valuation Class,Description
31,2002700,Server,60090171,2058,Server used in daily business operations and procurement.
32,2002701,Desk,60090172,2059,Desk used in daily business operations and procurement.
33,2002702,Adapter,60090173,2060,Adapter used in daily business operations and procurement.
34,2002703,Chair,60090174,2061,Chair used in daily business operations and procurement.
35,2002704,Scanner,60090175,2062,Scanner used in daily business operations and procurement.
36,2002705,Server,60090176,2063,Server used in daily business operations and procurement.
37,2002706,Router,60090177,2064,Router used in daily business operations and procurement.
38,2002707,Notebook,60090178,2065,Notebook used in daily business operations and procurement.
39,2002708,Server,60090179,2066,Server used in daily business operations and procurement.
40,2002709,Mouse,60090180,2067,Mouse used in daily business operations and procurement.
41,2002710,Keyboard,60090181,2068,Keyboard used in daily business operations and procurement.
42,2002711,Mouse,60090182,2069,Mouse used in daily business operations and procurement.
43,2002712,Notebook,60090183,2070,Notebook used in daily business operations and procurement.
44,2002713,Headset,60090184,2071,USB headset for calls and virtual meetings.
45,2002714,Notebook,60090185,2072,Notebook used in daily business operations and procurement.
46,2002715,Mouse,60090186,2073,Mouse used in daily business operations and procurement.
47,2002716,Mouse,60090187,2074,Mouse used in daily business operations and procurement.
48,2002717,Monitor,60090188,2075,Monitor used in daily business operations and procurement.
49,2002718,Scanner,60090189,2076,Scanner used in daily business operations and procurement.
50,2002719,Headset,60090190,2077,USB headset for calls and virtual meetings.
51,2002720,Keyboard,60090191,2078,Keyboard used in daily business operations and procurement.
52,2002721,Server,60090192,2079,Server used in daily business operations and procurement.
53,2002722,Chair,60090193,2080,Chair used in daily business operations and procurement.
54,2002723,Mouse,60090194,2081,Mouse used in daily business operations and procurement.
55,2002724,USB Drive,60090195,2082,USB Drive used in daily business operations and procurement.
56,2002725,Headset,60090196,2083,USB headset for calls and virtual meetings.
57,2002726,Mouse,60090197,2084,Mouse used in daily business operations and procurement.
58,2002727,Monitor,60090198,2085,Monitor used in daily business operations and procurement.
59,2002728,Adapter,60090199,2086,Adapter used in daily business operations and procurement.
60,2002729,Mouse,60090200,2087,Mouse used in daily business operations and procurement.
61,2002730,Cable,60090201,2088,Cable used in daily business operations and procurement.
62,2002731,Cable,60090202,2089,Cable used in daily business operations and procurement.
63,2002732,USB Drive,60090203,2090,USB Drive used in daily business operations and procurement.
64,2002733,USB Drive,60090204,2091,USB Drive used in daily business operations and procurement.
65,2002734,Desk,60090205,2092,Desk used in daily business operations and procurement.
66,2002735,Server,60090206,2093,Server used in daily business operations and procurement.
67,2002736,USB Drive,60090207,2094,USB Drive used in daily business operations and procurement.
68,2002737,Headset,60090208,2095,USB headset for calls and virtual meetings.
69,2002738,Scanner,60090209,2096,Scanner used in daily business operations and procurement.
70,2002739,Server,60090210,2097,Server used in daily business operations and procurement.
71,2002740,Headset,60090211,2098,USB headset for calls and virtual meetings.
72,2002741,Desk,60090212,2099,Desk used in daily business operations and procurement.
73,2002742,Scanner,60090213,2100,Scanner used in daily business operations and procurement.
74,2002743,Chair,60090214,2101,Chair used in daily business operations and procurement.
75,2002744,Desk,60090215,2102,Desk used in daily business operations and procurement.
76,2002745,Notebook,60090216,2103,Notebook used in daily business operations and procurement.
77,2002746,Scanner,60090217,2104,Scanner used in daily business operations and procurement.
78,2002747,Server,60090218,2105,Server used in daily business operations and procurement.
79,2002748,Printer,60090219,2106,Printer used in daily business operations and procurement.
80,2002749,Keyboard,60090220,2107,Keyboard used in daily business operations and procurement.
81,2002750,Server,60090221,2108,Server used in daily business operations and procurement.
82,2002751,Headset,60090222,2109,USB headset for calls and virtual meetings.
83,2002752,USB Drive,60090223,2110,USB Drive used in daily business operations and procurement.
84,2002753,Desk,60090224,2111,Desk used in daily business operations and procurement.
85,2002754,USB Drive,60090225,2112,USB Drive used in daily business operations and procurement.
86,2002755,Notebook,60090226,2113,Notebook used in daily business operations and procurement.
87,2002756,Router,60090227,2114,Router used in daily business operations and procurement.
88,2002757,Notebook,60090228,2115,Notebook used in daily business operations and procurement.
89,2002758,Router,60090229,2116,Router used in daily business operations and procurement.
90,2002759,Cable,60090230,2117,Cable used in daily business operations and procurement.
91,2002760,Mouse,60090231,2118,Mouse used in daily business operations and procurement.
92,2002761,Mouse,60090232,2119,Mouse used in daily business operations and procurement.
93,2002762,Mouse,60090233,2120,Mouse used in daily business operations and procurement.
94,2002763,Notebook,60090234,2121,Notebook used in daily business operations and procurement.
95,2002764,Monitor,60090235,2122,Monitor used in daily business operations and procurement.
96,2002765,Printer,60090236,2123,Printer used in daily business operations and procurement.
97,2002766,Headset,60090237,2124,USB headset for calls and virtual meetings.
98,2002767,Mouse,60090238,2125,Mouse used in daily business operations and procurement.
99,2002768,Keyboard,60090239,2126,Keyboard used in daily business operations and procurement.
100,2002769,Notebook,60090240,2127,Notebook used in daily business operations and procurement.
101,2002770,USB Drive,60090241,2128,USB Drive used in daily business operations and procurement.
102,2002771,Keyboard,60090242,2129,Keyboard used in daily business operations and procurement.
103,2002772,USB Drive,60090243,2130,USB Drive used in daily business operations and procurement.
104,2002773,Keyboard,60090244,2131,Keyboard used in daily business operations and procurement.
105,2002774,Adapter,60090245,2132,Adapter used in daily business operations and procurement.
106,2002775,Headset,60090246,2133,USB headset for calls and virtual meetings.
107,2002776,Notebook,60090247,2134,Notebook used in daily business operations and procurement.
108,2002777,Chair,60090248,2135,Chair used in daily business operations and procurement.
109,2002778,Desk,60090249,2136,Desk used in daily business operations and procurement.
110,2002779,Keyboard,60090250,2137,Keyboard used in daily business operations and procurement.
111,2002780,Marker,60090251,2138,Marker used in daily business operations and procurement.
112,2002781,USB Drive,60090252,2139,USB Drive used in daily business operations and procurement.
113,2002782,Server,60090253,2140,Server used in daily business operations and procurement.
114,2002783,Desk,60090254,2141,Desk used in daily business operations and procurement.
115,2002784,Mouse,60090255,2142,Mouse used in daily business operations and procurement.
116,2002785,Marker,60090256,2143,Marker used in daily business operations and procurement.
117,2002786,Mouse,60090257,2144,Mouse used in daily business operations and procurement.
118,2002787,Chair,60090258,2145,Chair used in daily business operations and procurement.
119,2002788,Desk,60090259,2146,Desk used in daily business operations and procurement.
120,2002789,Marker,60090260,2147,Marker used in daily business operations and procurement.
121,2002790,Adapter,60090261,2148,Adapter used in daily business operations and procurement.
122,2002791,USB Drive,60090262,2149,USB Drive used in daily business operations and procurement.
123,2002792,Marker,60090263,2150,Marker used in daily business operations and procurement.
124,2002793,USB Drive,60090264,2151,USB Drive used in daily business operations and procurement.
125,2002794,Printer,60090265,2152,Printer used in daily business operations and procurement.
126,2002795,Desk,60090266,2153,Desk used in daily business operations and procurement.
127,2002796,Printer,60090267,2154,Printer used in daily business operations and procurement.
128,2002797,Server,60090268,2155,Server used in daily business operations and procurement.
129,2002798,Scanner,60090269,2156,Scanner used in daily business operations and procurement.
130,2002799,Desk,60090270,2157,Desk used in daily business operations and procurement.
131,2002800,Headset,60090271,2158,USB headset for calls and virtual meetings.
132,2002801,Desk,60090272,2159,Desk used in daily business operations and procurement.
133,2002802,Desk,60090273,2160,Desk used in daily business operations and procurement.
134,2002803,Adapter,60090274,2161,Adapter used in daily business operations and procurement.
135,2002804,Adapter,60090275,2162,Adapter used in daily business operations and procurement.
136,2002805,Keyboard,60090276,2163,Keyboard used in daily business operations and procurement.
137,2002806,Adapter,60090277,2164,Adapter used in daily business operations and procurement.
138,2002807,Keyboard,60090278,2165,Keyboard used in daily business operations and procurement.
139,2002808,USB Drive,60090279,2166,USB Drive used in daily business operations and procurement.
140,2002809,Printer,60090280,2167,Printer used in daily business operations and procurement.
141,2002810,Headset,60090281,2168,USB headset for calls and virtual meetings.
142,2002811,Adapter,60090282,2169,Adapter used in daily business operations and procurement.
143,2002812,Desk,60090283,2170,Desk used in daily business operations and procurement.
144,2002813,Mouse,60090284,2171,Mouse used in daily business operations and procurement.
145,2002814,Adapter,60090285,2172,Adapter used in daily business operations and procurement.
146,2002815,Printer,60090286,2173,Printer used in daily business operations and procurement.
147,2002816,Cable,60090287,2174,Cable used in daily business operations and procurement.
148,2002817,Server,60090288,2175,Server used in daily business operations and procurement.
149,2002818,Keyboard,60090289,2176,Keyboard used in daily business operations and procurement.
150,2002819,Keyboard,60090290,2177,Keyboard used in daily business operations and procurement.
